Unnamed: 0,mode,num,lang,model,seed,f1,good
230,global_cap_sentences,0.5,yor,AfriBERTa,3,0.768267223382046,0.9762004175365346
231,global_cap_sentences,0.6,amh,AfriBERTa,1,0.7129228100607111,0.9773401903179701
232,global_cap_sentences,0.6,amh,AfriBERTa,2,0.6905982905982906,0.9702823964106625
233,global_cap_sentences,0.6,amh,AfriBERTa,3,0.7022375215146299,0.9740447504302926
234,global_cap_sentences,0.6,conll_2003_en,AfriBERTa,1,0.8774426295219961,0.9890810928939473
235,global_cap_sentences,0.6,conll_2003_en,AfriBERTa,2,0.8774206428428828,0.9898519466588731
236,global_cap_sentences,0.6,conll_2003_en,AfriBERTa,3,0.8756238770213616,0.9922812992257456
237,global_cap_sentences,0.6,hau,AfriBERTa,1,0.8884228187919463,0.9832544679888396
238,global_cap_sentences,0.6,hau,AfriBERTa,2,0.884873949579832,0.9813078271533124
239,global_cap_sentences,0.6,hau,AfriBERTa,3,0.8859060402684562,0.9903015407883542
240,global_cap_sentences,0.6,ibo,AfriBERTa,1,0.8689883913764511,0.9955602439885896
241,global_cap_sentences,0.6,ibo,AfriBERTa,2,0.8664440734557596,0.9937160019490219
242,global_cap_sentences,0.6,ibo,AfriBERTa,3,0.8647302904564316,0.9967154400524132
243,global_cap_sentences,0.6,kin,AfriBERTa,1,0.7269193391642371,0.9780281993907207
244,global_cap_sentences,0.6,kin,AfriBERTa,2,0.7212796897721764,0.9833478030731052
245,global_cap_sentences,0.6,kin,AfriBERTa,3,0.7336244541484717,0.9833993169422119
246,global_cap_sentences,0.6,lug,AfriBERTa,1,0.7456485120718697,0.9494448414114551
247,global_cap_sentences,0.6,lug,AfriBERTa,2,0.7624434389140272,0.9656160458452723
248,global_cap_sentences,0.6,lug,AfriBERTa,3,0.7533632286995515,0.9579403123550333
249,global_cap_sentences,0.6,luo,AfriBERTa,1,0.5929304446978335,0.865801549005141
250,global_cap_sentences,0.6,luo,AfriBERTa,2,0.5966981132075473,0.8690585760305044
251,global_cap_sentences,0.6,luo,AfriBERTa,3,0.6219081272084805,0.9273488208906597
252,global_cap_sentences,0.6,pcm,AfriBERTa,1,0.8381655245123879,0.9733535123369665
253,global_cap_sentences,0.6,pcm,AfriBERTa,2,0.8508170795993675,0.9943858396064836
254,global_cap_sentences,0.6,pcm,AfriBERTa,3,0.8318397469688982,0.9803825589276299
255,global_cap_sentences,0.6,swa,AfriBERTa,1,0.8626172034243784,0.9912745988214804
256,global_cap_sentences,0.6,swa,AfriBERTa,2,0.8606557377049181,0.9852884317970925
257,global_cap_sentences,0.6,swa,AfriBERTa,3,0.8660130718954248,0.9819680056791753
258,global_cap_sentences,0.6,wol,AfriBERTa,1,0.5783132530120482,0.9638554216867468
259,global_cap_sentences,0.6,wol,AfriBERTa,2,0.586,0.932187898089172
260,global_cap_sentences,0.6,wol,AfriBERTa,3,0.5717213114754099,0.931658814879364
261,global_cap_sentences,0.6,yor,AfriBERTa,1,0.7753743760399333,0.9772689819417053
262,global_cap_sentences,0.6,yor,AfriBERTa,2,0.7766582703610412,0.9716561622757233
263,global_cap_sentences,0.6,yor,AfriBERTa,3,0.7677364864864864,0.975526035546416
264,global_cap_sentences,0.7,amh,AfriBERTa,1,0.714164546225615,0.9790424765158665
265,global_cap_sentences,0.7,amh,AfriBERTa,2,0.702020202020202,0.9863300463062934
266,global_cap_sentences,0.7,amh,AfriBERTa,3,0.6956521739130435,0.9649104859335038
267,global_cap_sentences,0.7,conll_2003_en,AfriBERTa,1,0.8791164658634539,0.9909678941755725
268,global_cap_sentences,0.7,conll_2003_en,AfriBERTa,2,0.8765283623972739,0.9888453307976484
269,global_cap_sentences,0.7,conll_2003_en,AfriBERTa,3,0.8806059398046642,0.9979271111561564
270,global_cap_sentences,0.7,hau,AfriBERTa,1,0.8907633909742724,0.9858448765277061
271,global_cap_sentences,0.7,hau,AfriBERTa,2,0.8877637130801688,0.9845125181071471
272,global_cap_sentences,0.7,hau,AfriBERTa,3,0.8858947368421053,0.9902889053619967
273,global_cap_sentences,0.7,ibo,AfriBERTa,1,0.8788381742738589,1.006844689628934
274,global_cap_sentences,0.7,ibo,AfriBERTa,2,0.8722430295464002,1.0003667664223548
275,global_cap_sentences,0.7,ibo,AfriBERTa,3,0.8662525879917184,0.9984700882641385
276,global_cap_sentences,0.7,kin,AfriBERTa,1,0.7161572052401746,0.9635483666276327
277,global_cap_sentences,0.7,kin,AfriBERTa,2,0.737560975609756,1.0055446940803179
278,global_cap_sentences,0.7,kin,AfriBERTa,3,0.7228682170542635,0.9689809368684582
279,global_cap_sentences,0.7,lug,AfriBERTa,1,0.7580372250423012,0.9652195656026431
280,global_cap_sentences,0.7,lug,AfriBERTa,2,0.7629213483146068,0.9662213064614791
281,global_cap_sentences,0.7,lug,AfriBERTa,3,0.7565752658086178,0.9620245836790615
282,global_cap_sentences,0.7,luo,AfriBERTa,1,0.6340326340326341,0.9258192787604553
283,global_cap_sentences,0.7,luo,AfriBERTa,2,0.6793802145411204,0.9894805912131998
284,global_cap_sentences,0.7,luo,AfriBERTa,3,0.6777251184834123,1.0105794763201237
285,global_cap_sentences,0.7,pcm,AfriBERTa,1,0.8266107909900472,0.9599351121174741
286,global_cap_sentences,0.7,pcm,AfriBERTa,2,0.8485804416403785,0.9917717864003676
287,global_cap_sentences,0.7,pcm,AfriBERTa,3,0.837160751565762,0.9866537429167909
288,global_cap_sentences,0.7,swa,AfriBERTa,1,0.8702479338842976,1.0000434353869272
289,global_cap_sentences,0.7,swa,AfriBERTa,2,0.8639539662967529,0.9890642812274619
290,global_cap_sentences,0.7,swa,AfriBERTa,3,0.8597285067873303,0.9748419679021131
291,global_cap_sentences,0.7,wol,AfriBERTa,1,0.5803212851405621,0.9672021419009368
292,global_cap_sentences,0.7,wol,AfriBERTa,2,0.6391959798994974,1.016810165477067
293,global_cap_sentences,0.7,wol,AfriBERTa,3,0.6167846309403439,1.0050925630439822
294,global_cap_sentences,0.7,yor,AfriBERTa,1,0.7904040404040403,0.9962121212121213
295,global_cap_sentences,0.7,yor,AfriBERTa,2,0.7959356477561389,0.9957735679009206
296,global_cap_sentences,0.7,yor,AfriBERTa,3,0.7969798657718121,1.0126841990078788
297,global_cap_sentences,0.8,amh,AfriBERTa,1,0.7193877551020408,0.986202931876976
298,global_cap_sentences,0.8,amh,AfriBERTa,2,0.7051926298157454,0.9907872696817421
299,global_cap_sentences,0.8,amh,AfriBERTa,3,0.717948717948718,0.9958371040723982
